"Название таблицы";"Найденные поля (%)";"Оставшиеся поля (%)";"Среднее по столбцам";"Обратное среднее по столбцам";"Среднее по строкам";"Обратное среднее по строкам";"Полностью соответствующие столбцы";"Полностью не соответствующие столбцы";"Полностью соответствующие строки";"Полностью не соответствующие строки";"Всего строк";"Всего столбцов";"Всего полей"
"185-528e06e48b038.csv";"51";"49";"51";"49";"51";"49";"7";"7";"0";"0";"13";"29";"377"
"187-528e07715aac8.csv";"40";"60";"40";"60";"40";"60";"0";"0";"1";"0";"16";"167";"2672"
"204-532049399e7c1.csv";"0";"100";"0";"100";"0";"100";"0";"100";"0";"100";"4";"25";"100"
"31-51b9c44f21f53.csv";"38";"62";"38";"62";"38";"62";"26";"0";"11";"0";"72";"18";"1296"
"sample.csv";"29";"71";"29";"71";"29";"71";"25";"0";"4";"0";"4";"25";"100"
"По всем таблицам";"31";"69";"31";"69";"31";"69";"11";"21";"3";"20";"21";"52";"909"
